id,IP,site_location,discharge_id,start_time,end_time,duration_min,start_cause,stop_cause,init_cap_rate1,init_cap_rate2,init_cap_rate3,init_cap_rate4,final_cap_rate1,final_cap_rate2,final_cap_rate3,final_cap_rate4,init_batt_volt1,init_batt_volt2,init_batt_volt3,init_batt_volt4,final_batt_volt1,final_batt_volt2,final_batt_volt3,final_batt_volt4,init_batt_disch_power1,init_batt_disch_power2,init_batt_disch_power3,init_batt_disch_power4,final_batt_disch_power1,final_batt_disch_power2,final_batt_disch_power3,final_batt_disch_power4,batt_type,temp
1494,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,449,2026-02-24 20:00:01,2026-02-24 21:22:55,82,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,71.0,91.0,0.0,0.0,54.7,54.7,0.0,0.0,46.5,46.4,0.0,0.0,,,,,,,,,LEAD_ACID,
1495,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,448,2026-02-22 20:00:00,2026-02-22 21:21:25,81,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,70.0,88.0,0.0,0.0,54.6,54.6,0.0,0.0,46.3,46.3,0.0,0.0,,,,,,,,,LEAD_ACID,
1496,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,447,2026-02-20 20:00:01,2026-02-20 21:16:24,76,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,70.0,88.0,0.0,0.0,54.2,54.2,0.0,0.0,46.5,46.4,0.0,0.0,,,,,,,,,LEAD_ACID,
1497,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,446,2026-02-18 20:00:01,2026-02-18 21:21:54,81,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,70.0,87.0,0.0,0.0,54.1,54.0,0.0,0.0,46.5,46.5,0.0,0.0,,,,,,,,,LEAD_ACID,
1498,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,445,2026-02-16 20:00:01,2026-02-16 21:34:02,94,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,69.0,86.0,0.0,0.0,53.2,53.2,0.0,0.0,46.4,46.4,0.0,0.0,,,,,,,,,LEAD_ACID,
1499,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,444,2026-02-14 20:00:00,2026-02-14 21:39:26,99,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,67.0,86.0,0.0,0.0,53.1,53.0,0.0,0.0,46.3,46.4,0.0,0.0,,,,,,,,,LEAD_ACID,
1500,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,443,2026-02-12 20:00:01,2026-02-12 21:47:51,107,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,85.0,0.0,0.0,52.8,53.1,0.0,0.0,46.6,46.6,0.0,0.0,,,,,,,,,LEAD_ACID,
1501,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,442,2026-02-10 20:00:01,2026-02-10 21:49:17,109,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,84.0,0.0,0.0,53.1,53.1,0.0,0.0,46.5,46.5,0.0,0.0,,,,,,,,,LEAD_ACID,
1502,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,441,2026-02-08 20:00:01,2026-02-08 21:50:38,110,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,83.0,0.0,0.0,52.9,52.9,0.0,0.0,46.5,46.5,0.0,0.0,,,,,,,,,LEAD_ACID,
1503,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,440,2026-02-06 20:00:01,2026-02-06 21:34:02,94,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,68.0,87.0,0.0,0.0,53.0,53.4,0.0,0.0,46.5,46.5,0.0,0.0,,,,,,,,,LEAD_ACID,
