id,ip,location,test_no,start_time,end_time,test_type,stop_reason,test_result,end_voltage,avg_current,capacity,temperature,batt_type
200303,10.63.93.154,UMG.Gurvantes_UsuhZoosUurhai_Otvol,39,2026-03-09T19:00:02,2026-03-09T21:09:48,Scheduled test,Low capacity,Test normal,46.0,-20.6,44.4,23.0,VRLA12v_LeadAcid
143993,10.63.93.154,UMG.Gurvantes_UsuhZoosUurhai_Otvol,38,2026-03-06T19:00:02,2026-03-06T21:11:19,Scheduled test,Low capacity,Test normal,46.0,-20.9,45.6,21.0,VRLA12v_LeadAcid
16794,10.63.93.154,UMG.Gurvantes_UsuhZoosUurhai_Otvol,37,2026-03-03T19:00:03,2026-03-03T21:39:40,Scheduled test,Low capacity,Test normal,45.6,-20.0,53.1,22.0,VRLA12v_LeadAcid
16758,10.63.93.154,UMG.Gurvantes_UsuhZoosUurhai_Otvol,1,2026-02-28T19:00:02,2026-02-28T21:27:54,Scheduled test,Low capacity,Test normal,45.8,-19.4,47.7,22.0,VRLA12v_LeadAcid
16759,10.63.93.154,UMG.Gurvantes_UsuhZoosUurhai_Otvol,2,2026-02-25T19:00:02,2026-02-25T21:42:37,Scheduled test,Low capacity,Test normal,45.8,-19.9,53.9,23.0,VRLA12v_LeadAcid
16760,10.63.93.154,UMG.Gurvantes_UsuhZoosUurhai_Otvol,3,2026-02-22T19:00:02,2026-02-22T21:49:25,Scheduled test,Low capacity,Test normal,46.1,-19.6,55.4,23.0,VRLA12v_LeadAcid
16761,10.63.93.154,UMG.Gurvantes_UsuhZoosUurhai_Otvol,4,2026-02-19T19:00:03,2026-02-19T21:58:45,Scheduled test,Low capacity,Test normal,45.8,-19.5,58.1,24.0,VRLA12v_LeadAcid
16762,10.63.93.154,UMG.Gurvantes_UsuhZoosUurhai_Otvol,5,2026-02-16T19:00:03,2026-02-16T21:56:54,Scheduled test,Low capacity,Test normal,46.2,-20.1,59.1,22.0,VRLA12v_LeadAcid
16763,10.63.93.154,UMG.Gurvantes_UsuhZoosUurhai_Otvol,6,2026-02-11T19:00:01,2026-02-11T22:00:11,Scheduled test,Exceeded time limit,Test normal,46.7,-20.0,59.9,21.0,VRLA12v_LeadAcid
16764,10.63.93.154,UMG.Gurvantes_UsuhZoosUurhai_Otvol,7,2026-02-08T19:00:03,2026-02-08T21:56:09,Scheduled test,Low capacity,Test normal,46.0,-20.6,60.3,20.0,VRLA12v_LeadAcid
