id,IP,site_location,discharge_id,start_time,end_time,duration_min,start_cause,stop_cause,init_cap_rate1,init_cap_rate2,init_cap_rate3,init_cap_rate4,final_cap_rate1,final_cap_rate2,final_cap_rate3,final_cap_rate4,init_batt_volt1,init_batt_volt2,init_batt_volt3,init_batt_volt4,final_batt_volt1,final_batt_volt2,final_batt_volt3,final_batt_volt4,init_batt_disch_power1,init_batt_disch_power2,init_batt_disch_power3,init_batt_disch_power4,final_batt_disch_power1,final_batt_disch_power2,final_batt_disch_power3,final_batt_disch_power4,batt_type,temp
12231,10.60.27.116,HEN.Berh_SoyoliinTuv,1,2023-09-26 18:49:25,2023-09-26 20:42:08,113,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,67.0,0.0,0.0,53.58,53.39,0.0,0.0,46.99,46.65,0.0,0.0,,,,,,,,,LEAD_ACID,
12232,10.60.27.116,HEN.Berh_SoyoliinTuv,2,2023-09-28 20:00:01,2023-09-28 21:46:49,107,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,67.0,0.0,0.0,53.49,53.27,0.0,0.0,46.97,46.75,0.0,0.0,,,,,,,,,LEAD_ACID,
12233,10.60.27.116,HEN.Berh_SoyoliinTuv,3,2023-09-30 20:00:00,2023-09-30 21:51:07,111,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,68.0,0.0,0.0,53.67,53.46,0.0,0.0,46.86,46.7,0.0,0.0,,,,,,,,,LEAD_ACID,
12234,10.60.27.116,HEN.Berh_SoyoliinTuv,4,2023-10-02 20:00:01,2023-10-02 21:42:17,102,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,67.0,69.0,0.0,0.0,53.77,53.55,0.0,0.0,46.5,46.25,0.0,0.0,,,,,,,,,LEAD_ACID,
12235,10.60.27.116,HEN.Berh_SoyoliinTuv,5,2023-10-04 20:00:01,2023-10-04 21:14:56,75,SCHEDULED,POWER_OFF,100.0,100.0,0.0,0.0,71.0,74.0,0.0,0.0,53.85,53.64,0.0,0.0,47.22,46.85,0.0,0.0,,,,,,,,,LEAD_ACID,
12236,10.60.27.116,HEN.Berh_SoyoliinTuv,6,2023-10-06 20:00:01,2023-10-06 21:35:49,96,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,68.0,71.0,0.0,0.0,53.63,53.44,0.0,0.0,46.49,46.29,0.0,0.0,,,,,,,,,LEAD_ACID,
12237,10.60.27.116,HEN.Berh_SoyoliinTuv,7,2023-10-08 20:00:00,2023-10-08 21:39:52,100,SCHEDULED,BATTERY_VOLTAGE,100.0,100.0,0.0,0.0,67.0,70.0,0.0,0.0,53.72,53.51,0.0,0.0,46.49,46.39,0.0,0.0,,,,,,,,,LEAD_ACID,
12238,10.60.27.116,HEN.Berh_SoyoliinTuv,8,2023-10-10 20:00:00,2023-10-10 21:48:26,108,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,68.0,0.0,0.0,53.6,53.39,0.0,0.0,46.65,46.54,0.0,0.0,,,,,,,,,LEAD_ACID,
12239,10.60.27.116,HEN.Berh_SoyoliinTuv,9,2023-10-12 20:00:01,2023-10-12 21:48:55,109,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,68.0,0.0,0.0,52.87,52.66,0.0,0.0,46.63,46.69,0.0,0.0,,,,,,,,,LEAD_ACID,
12240,10.60.27.116,HEN.Berh_SoyoliinTuv,10,2023-10-14 20:00:01,2023-10-14 21:48:58,109,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,68.0,0.0,0.0,53.26,53.07,0.0,0.0,46.61,46.49,0.0,0.0,,,,,,,,,LEAD_ACID,
