id,IP,site_location,discharge_id,start_time,end_time,duration_min,start_cause,stop_cause,init_cap_rate1,init_cap_rate2,init_cap_rate3,init_cap_rate4,final_cap_rate1,final_cap_rate2,final_cap_rate3,final_cap_rate4,init_batt_volt1,init_batt_volt2,init_batt_volt3,init_batt_volt4,final_batt_volt1,final_batt_volt2,final_batt_volt3,final_batt_volt4,init_batt_disch_power1,init_batt_disch_power2,init_batt_disch_power3,init_batt_disch_power4,final_batt_disch_power1,final_batt_disch_power2,final_batt_disch_power3,final_batt_disch_power4,batt_type,temp
19335,10.63.120.8,BZD._11Horoo_TurHurahAm_Unitel_MP25_ULN,10,2026-03-11T19:00:06,2026-03-11T22:00:13,180,SCHEDULED,MAX_TIME,100.0,100.0,,,92.0,90.0,,,53.58,53.52,,,49.69,49.65,,,42.26,39.02,,,43.06,39.98,,,LEAD_ACID,21.0
19260,10.63.120.8,BZD._11Horoo_TurHurahAm_Unitel_MP25_ULN,9,2026-03-09T19:00:04,2026-03-09T22:00:13,180,SCHEDULED,MAX_TIME,100.0,100.0,,,92.0,90.0,,,53.56,53.51,,,49.59,49.55,,,41.42,38.02,,,42.22,38.97,,,LEAD_ACID,14.0
19182,10.63.120.8,BZD._11Horoo_TurHurahAm_Unitel_MP25_ULN,8,2026-03-07T19:00:04,2026-03-07T22:00:12,180,SCHEDULED,MAX_TIME,100.0,100.0,,,93.0,91.0,,,53.58,53.55,,,49.59,49.55,,,40.68,37.12,,,41.41,38.0,,,LEAD_ACID,13.0
19043,10.63.120.8,BZD._11Horoo_TurHurahAm_Unitel_MP25_ULN,7,2026-03-05T19:00:05,2026-03-05T22:00:14,180,SCHEDULED,MAX_TIME,100.0,100.0,,,91.0,90.0,,,53.54,53.53,,,49.54,49.52,,,39.79,36.13,,,40.66,37.11,,,LEAD_ACID,6.0
18982,10.63.120.8,BZD._11Horoo_TurHurahAm_Unitel_MP25_ULN,6,2026-03-03T10:00:04,2026-03-03T13:00:14,180,SCHEDULED,MAX_TIME,100.0,100.0,,,92.0,93.0,,,53.54,53.49,,,49.52,49.49,,,39.01,35.38,,,39.77,36.12,,,LEAD_ACID,6.0
18921,10.63.120.8,BZD._11Horoo_TurHurahAm_Unitel_MP25_ULN,5,2026-03-01T10:00:03,2026-03-01T13:00:10,180,SCHEDULED,MAX_TIME,100.0,100.0,,,92.0,92.0,,,53.61,53.7,,,49.51,49.48,,,38.24,34.59,,,38.99,35.35,,,LEAD_ACID,5.0
18867,10.63.120.8,BZD._11Horoo_TurHurahAm_Unitel_MP25_ULN,4,2026-02-27T22:01:26,2026-02-28T01:01:32,180,SCHEDULED,MAX_TIME,100.0,100.0,,,89.0,89.0,,,50.41,50.38,,,49.23,49.21,,,37.09,33.47,,,38.22,34.57,,,LEAD_ACID,5.0
17575,10.63.120.8,BZD._11Horoo_TurHurahAm_Unitel_MP25_ULN,3,2025-09-05T16:23:26,2025-09-06T00:23:31,480,MANUAL,MAX_TIME,100.0,100.0,,,76.0,72.0,,,52.08,51.97,,,49.6,49.53,,,26.01,22.97,,,28.36,25.78,,,LEAD_ACID,
17576,10.63.120.8,BZD._11Horoo_TurHurahAm_Unitel_MP25_ULN,2,2025-09-05T16:23:16,2025-09-05T16:23:18,0,MANUAL,MANUAL,100.0,100.0,,,100.0,100.0,,,52.22,52.22,,,51.74,51.67,,,26.01,22.97,,,26.01,22.97,,,LEAD_ACID,
17577,10.63.120.8,BZD._11Horoo_TurHurahAm_Unitel_MP25_ULN,1,2025-09-05T16:22:30,2025-09-05T16:22:32,0,MANUAL,MANUAL,100.0,100.0,,,100.0,100.0,,,54.55,54.46,,,53.54,53.4,,,26.01,22.97,,,26.01,22.97,,,LEAD_ACID,
