id,ip,location,test_no,start_time,end_time,test_type,stop_reason,test_result,end_voltage,avg_current,capacity,temperature,batt_type
634072,10.60.26.53,BAU.Ulgii_Petrovis,46,2026-03-30T19:00:02,2026-03-30T20:37:22,Scheduled test,Low capacity,Test normal,47.7,-138.6,224.3,19.0,VRLA12v_LeadAcid
567876,10.60.26.53,BAU.Ulgii_Petrovis,45,2026-03-27T19:00:00,2026-03-27T20:44:15,Scheduled test,Low capacity,Test normal,46.9,-147.6,255.9,16.0,VRLA12v_LeadAcid
503138,10.60.26.53,BAU.Ulgii_Petrovis,44,2026-03-24T19:00:00,2026-03-24T20:51:42,Scheduled test,Low capacity,Test normal,46.8,-143.9,267.4,15.0,VRLA12v_LeadAcid
440574,10.60.26.53,BAU.Ulgii_Petrovis,43,2026-03-21T19:00:01,2026-03-21T20:42:29,Scheduled test,Low capacity,Test normal,47.3,-141.3,240.9,14.0,VRLA12v_LeadAcid
358975,10.60.26.53,BAU.Ulgii_Petrovis,42,2026-03-18T19:00:00,2026-03-18T20:53:49,Scheduled test,Low capacity,Test normal,47.1,-139.4,263.8,13.0,VRLA12v_LeadAcid
299079,10.60.26.53,BAU.Ulgii_Petrovis,41,2026-03-15T19:00:00,2026-03-15T20:52:16,Scheduled test,Low capacity,Test normal,47.6,-135.1,252.2,13.0,VRLA12v_LeadAcid
240485,10.60.26.53,BAU.Ulgii_Petrovis,40,2026-03-12T19:00:00,2026-03-12T21:00:21,Scheduled test,Low capacity,Test normal,46.2,-134.1,268.4,10.0,VRLA12v_LeadAcid
183214,10.60.26.53,BAU.Ulgii_Petrovis,39,2026-03-09T19:00:01,2026-03-09T20:33:59,Scheduled test,Low capacity,Test normal,47.3,-148.9,232.6,15.0,VRLA12v_LeadAcid
127340,10.60.26.53,BAU.Ulgii_Petrovis,38,2026-03-06T19:00:02,2026-03-06T20:51:42,Scheduled test,Low capacity,Test normal,46.4,-141.1,262.1,11.0,VRLA12v_LeadAcid
503,10.60.26.53,BAU.Ulgii_Petrovis,37,2026-03-03T19:00:00,2026-03-03T20:55:03,Scheduled test,Low capacity,Test normal,46.2,-139.3,266.6,8.0,VRLA12v_LeadAcid
467,10.60.26.53,BAU.Ulgii_Petrovis,1,2026-02-28T19:00:01,2026-02-28T20:54:01,Scheduled test,Low capacity,Test normal,46.2,-139.5,264.6,7.0,VRLA12v_LeadAcid
468,10.60.26.53,BAU.Ulgii_Petrovis,2,2026-02-25T19:00:01,2026-02-25T20:52:06,Scheduled test,Low capacity,Test normal,46.2,-137.2,255.7,9.0,VRLA12v_LeadAcid
469,10.60.26.53,BAU.Ulgii_Petrovis,3,2026-02-22T19:00:01,2026-02-22T20:46:27,Scheduled test,Low capacity,Test normal,46.8,-139.7,247.2,10.0,VRLA12v_LeadAcid
470,10.60.26.53,BAU.Ulgii_Petrovis,4,2026-02-19T19:00:01,2026-02-19T20:30:59,Scheduled test,Low capacity,Test normal,47.2,-146.5,221.6,11.0,VRLA12v_LeadAcid
471,10.60.26.53,BAU.Ulgii_Petrovis,5,2026-02-16T19:00:00,2026-02-16T20:56:14,Scheduled test,Low capacity,Test normal,46.2,-137.8,266.3,8.0,VRLA12v_LeadAcid
472,10.60.26.53,BAU.Ulgii_Petrovis,6,2026-02-13T19:00:01,2026-02-13T20:51:36,Scheduled test,Low capacity,Test normal,46.4,-141.0,261.8,10.0,VRLA12v_LeadAcid
473,10.60.26.53,BAU.Ulgii_Petrovis,7,2026-02-10T19:00:00,2026-02-10T20:49:28,Scheduled test,Low capacity,Test normal,46.4,-142.5,259.5,7.0,VRLA12v_LeadAcid
474,10.60.26.53,BAU.Ulgii_Petrovis,8,2026-02-07T19:00:00,2026-02-07T20:53:33,Scheduled test,Low capacity,Test normal,46.5,-139.8,264.0,6.0,VRLA12v_LeadAcid
475,10.60.26.53,BAU.Ulgii_Petrovis,9,2026-02-04T19:00:01,2026-02-04T21:06:10,Scheduled test,Low voltage,Battery alm,45.9,-136.3,285.9,9.0,VRLA12v_LeadAcid
476,10.60.26.53,BAU.Ulgii_Petrovis,10,2026-02-01T19:00:01,2026-02-01T20:54:46,Scheduled test,Low capacity,Test normal,46.4,-139.1,265.5,10.0,VRLA12v_LeadAcid
477,10.60.26.53,BAU.Ulgii_Petrovis,11,2026-01-29T19:00:01,2026-01-29T20:44:51,Scheduled test,Low capacity,Test normal,46.9,-141.8,247.2,11.0,VRLA12v_LeadAcid
478,10.60.26.53,BAU.Ulgii_Petrovis,12,2026-01-26T19:00:00,2026-01-26T20:54:07,Scheduled test,Low capacity,Test normal,46.6,-136.7,259.5,10.0,VRLA12v_LeadAcid
479,10.60.26.53,BAU.Ulgii_Petrovis,13,2026-01-23T19:00:00,2026-01-23T20:55:20,Scheduled test,Low voltage,Battery alm,45.9,-144.9,278.0,7.0,VRLA12v_LeadAcid
480,10.60.26.53,BAU.Ulgii_Petrovis,14,2026-01-17T19:00:01,2026-01-17T20:50:29,Scheduled test,Low capacity,Test normal,46.4,-144.4,265.3,8.0,VRLA12v_LeadAcid
481,10.60.26.53,BAU.Ulgii_Petrovis,15,2026-01-14T19:00:00,2026-01-14T20:58:51,Scheduled test,Low voltage,Battery alm,46.0,-148.1,292.7,14.0,VRLA12v_LeadAcid
482,10.60.26.53,BAU.Ulgii_Petrovis,16,2026-01-11T19:00:01,2026-01-11T20:49:09,Scheduled test,Low capacity,Test normal,46.4,-152.0,275.8,13.0,VRLA12v_LeadAcid
483,10.60.26.53,BAU.Ulgii_Petrovis,17,2026-01-08T19:00:00,2026-01-08T20:57:31,Scheduled test,Low voltage,Battery alm,45.9,-149.7,292.5,11.0,VRLA12v_LeadAcid
484,10.60.26.53,BAU.Ulgii_Petrovis,18,2026-01-05T19:00:00,2026-01-05T20:50:35,Scheduled test,Low capacity,Test normal,45.9,-156.2,287.3,11.0,VRLA12v_LeadAcid
485,10.60.26.53,BAU.Ulgii_Petrovis,19,2026-01-02T19:00:01,2026-01-02T20:48:29,Scheduled test,Low voltage,Battery alm,46.0,-159.0,286.9,11.0,VRLA12v_LeadAcid
486,10.60.26.53,BAU.Ulgii_Petrovis,20,2025-12-30T19:00:00,2025-12-30T20:58:05,Scheduled test,Low voltage,Battery alm,45.9,-150.5,295.5,12.0,VRLA12v_LeadAcid
487,10.60.26.53,BAU.Ulgii_Petrovis,21,2025-12-27T19:00:01,2025-12-27T21:02:02,Scheduled test,Low capacity,Test normal,46.0,-146.2,296.7,14.0,VRLA12v_LeadAcid
488,10.60.26.53,BAU.Ulgii_Petrovis,22,2025-12-24T19:00:01,2025-12-24T20:50:16,Scheduled test,Low capacity,Test normal,46.3,-151.1,277.1,14.0,VRLA12v_LeadAcid
489,10.60.26.53,BAU.Ulgii_Petrovis,23,2025-12-21T19:00:00,2025-12-21T21:00:02,Scheduled test,Low capacity,Test normal,46.0,-147.2,293.7,12.0,VRLA12v_LeadAcid
490,10.60.26.53,BAU.Ulgii_Petrovis,24,2025-12-18T19:00:00,2025-12-18T21:04:14,Scheduled test,Low voltage,Battery alm,46.0,-145.0,299.7,15.0,VRLA12v_LeadAcid
491,10.60.26.53,BAU.Ulgii_Petrovis,25,2025-12-15T19:00:00,2025-12-15T20:54:45,Scheduled test,Low capacity,Test normal,46.1,-153.6,293.2,15.0,VRLA12v_LeadAcid
492,10.60.26.53,BAU.Ulgii_Petrovis,26,2025-12-12T19:00:01,2025-12-12T20:57:53,Scheduled test,Low capacity,Test normal,46.1,-151.3,296.6,14.0,VRLA12v_LeadAcid
493,10.60.26.53,BAU.Ulgii_Petrovis,27,2025-12-09T19:00:00,2025-12-09T20:56:42,Scheduled test,Low capacity,Test normal,46.1,-151.8,294.7,16.0,VRLA12v_LeadAcid
