id,IP,site_location,discharge_id,start_time,end_time,duration_min,start_cause,stop_cause,init_cap_rate1,init_cap_rate2,init_cap_rate3,init_cap_rate4,final_cap_rate1,final_cap_rate2,final_cap_rate3,final_cap_rate4,init_batt_volt1,init_batt_volt2,init_batt_volt3,init_batt_volt4,final_batt_volt1,final_batt_volt2,final_batt_volt3,final_batt_volt4,init_batt_disch_power1,init_batt_disch_power2,init_batt_disch_power3,init_batt_disch_power4,final_batt_disch_power1,final_batt_disch_power2,final_batt_disch_power3,final_batt_disch_power4,batt_type,temp,avg_current
19892,10.63.6.218,BZD._2hor_13_2_GeneralSUH_NMD40_ULN,178,2026-03-26T19:00:02,2026-03-26T19:00:12,0,SCHEDULED,BATTERY_VOLTAGE,100.0,80.0,0.0,0.0,100.0,80.0,0.0,0.0,51.4,51.2,0.0,0.0,45.6,51.2,0.0,0.0,,,,,,,,,LEAD_ACID,34.0,113.1
19815,10.63.6.218,BZD._2hor_13_2_GeneralSUH_NMD40_ULN,177,2026-03-24T19:00:01,2026-03-24T19:00:07,0,SCHEDULED,BATTERY_VOLTAGE,100.0,80.0,0.0,0.0,100.0,80.0,0.0,0.0,52.9,51.2,0.0,0.0,45.4,51.2,0.0,0.0,,,,,,,,,LEAD_ACID,35.0,117.1
19740,10.63.6.218,BZD._2hor_13_2_GeneralSUH_NMD40_ULN,176,2026-03-22T19:00:01,2026-03-22T19:00:14,0,SCHEDULED,BATTERY_VOLTAGE,100.0,80.0,0.0,0.0,100.0,80.0,0.0,0.0,52.2,51.2,0.0,0.0,45.5,51.2,0.0,0.0,,,,,,,,,LEAD_ACID,33.0,
19665,10.63.6.218,BZD._2hor_13_2_GeneralSUH_NMD40_ULN,175,2026-03-20T19:00:01,2026-03-20T19:00:10,0,SCHEDULED,BATTERY_VOLTAGE,100.0,80.0,0.0,0.0,100.0,80.0,0.0,0.0,52.4,51.2,0.0,0.0,45.5,51.2,0.0,0.0,,,,,,,,,LEAD_ACID,33.0,
19589,10.63.6.218,BZD._2hor_13_2_GeneralSUH_NMD40_ULN,174,2026-03-18T19:00:00,2026-03-18T19:00:08,0,SCHEDULED,BATTERY_VOLTAGE,100.0,80.0,0.0,0.0,100.0,80.0,0.0,0.0,52.5,51.2,0.0,0.0,45.9,51.2,0.0,0.0,,,,,,,,,LEAD_ACID,30.0,
19513,10.63.6.218,BZD._2hor_13_2_GeneralSUH_NMD40_ULN,173,2026-03-16T19:00:01,2026-03-16T19:00:12,0,SCHEDULED,BATTERY_VOLTAGE,100.0,80.0,0.0,0.0,100.0,80.0,0.0,0.0,52.9,51.3,0.0,0.0,45.4,51.2,0.0,0.0,,,,,,,,,LEAD_ACID,33.0,
19438,10.63.6.218,BZD._2hor_13_2_GeneralSUH_NMD40_ULN,172,2026-03-14T19:00:01,2026-03-14T19:00:12,0,SCHEDULED,BATTERY_VOLTAGE,100.0,80.0,0.0,0.0,100.0,80.0,0.0,0.0,52.4,51.3,0.0,0.0,45.5,51.2,0.0,0.0,,,,,,,,,LEAD_ACID,32.0,
19364,10.63.6.218,BZD._2hor_13_2_GeneralSUH_NMD40_ULN,171,2026-03-12T19:00:01,2026-03-12T19:00:11,0,SCHEDULED,BATTERY_VOLTAGE,100.0,80.0,0.0,0.0,100.0,80.0,0.0,0.0,53.0,51.3,0.0,0.0,45.9,51.2,0.0,0.0,,,,,,,,,LEAD_ACID,35.0,
19290,10.63.6.218,BZD._2hor_13_2_GeneralSUH_NMD40_ULN,170,2026-03-10T19:00:01,2026-03-10T19:00:07,0,SCHEDULED,BATTERY_VOLTAGE,100.0,80.0,0.0,0.0,100.0,80.0,0.0,0.0,52.4,51.3,0.0,0.0,45.7,51.2,0.0,0.0,,,,,,,,,LEAD_ACID,34.0,
19213,10.63.6.218,BZD._2hor_13_2_GeneralSUH_NMD40_ULN,169,2026-03-08T19:00:01,2026-03-08T19:00:11,0,SCHEDULED,BATTERY_VOLTAGE,100.0,80.0,0.0,0.0,100.0,80.0,0.0,0.0,52.8,51.3,0.0,0.0,45.2,51.2,0.0,0.0,,,,,,,,,LEAD_ACID,32.0,
