ip,location
10.60.20.124,BUL.Dashinchilen_MW106
10.60.20.67,ZAV.TsagaanChuluut_Mobi
10.60.20.83,ZAV.Tosontsengel_DarhanUul
10.60.21.227,HOV.Bulgan_SoyoliinTuv
10.60.21.252,HOV.Myangad_MW133
10.60.21.44,UVH.Bayangol_Holboo
10.60.23.134,UMG.BayanOvoo_KoksUildver
10.60.23.28,DUG.Erdenedalai_Mobi
10.60.24.131,HUD._12hor_BioCombinat_ULN
10.60.24.253,SHD._8hor_NarangiinGol48_41_ULN
10.60.25.116,DOG.Sainshand_hamriinhiid
10.60.25.123,DOG.Zuunbayan_Mobi
10.60.26.20,HOV.Jargalant_Erchim
10.60.26.53,BAU.Ulgii_Petrovis
10.60.27.67,HEN.Murun_holboo
10.60.28.180,DAR.Darhan_Haanbank
10.60.28.229,SEL.Suhbaatar_Urtaria
10.60.28.29,TUV.Bornuur_Uguumur1BagMobi
10.60.29.51,SEL.Altanbulag_HontBag
10.60.29.61,SEL.Altanbulag_hiliinBoomtMobi
10.60.29.85,SEL.Eruu_BoldTumriinUurhai
10.60.30.44,UVS.Zuungovi_Mobi_TPD
10.60.34.102,SBD._16hor_8_164toot_Mobi_TPD_ULN
10.60.34.29,HUD.Sonsgolondenj_ULN
10.60.34.68,TUV.Erdene_5Bag_SuvragTolgoi_NMD
10.60.37.188,SHD._1hor_Tolgoit_38_525toot_TPD55_ULN
10.60.37.92,BZD._5hor_Monel_Unitel_TPD55_ULN
10.60.38.45,BZD._18hor_13horoolol_11Bair_NMD40_ULN
10.60.39.12,BZD._2hor_KTMS_HosNaranDul_ULN
10.60.39.4,BZD._27hor_DariEh_36_1896toot_SMP21_ULN
10.61.145.116,UVS.Undurhangai_Holboo_NMD110
10.61.145.68,UVS.Sagil_Holboo_NMD110
10.61.145.76,UVS.Tes_Holboo_NMD110
10.61.149.12,SEL.Orhontuul_Holboo_IOMD150
10.61.30.54,TUV.Erdene_DutluuriinDavaa_Mobi_TPD10
10.61.32.4,UVH.BatUlziit_GerHoroolol_TPD10
10.61.32.62,UVH.BatUlziit_Mobi
10.61.33.124,ARH.Tariat_AlagUul_Gmobile_SMP21
10.61.33.30,ARH.Erdenebulgan_AyulguinToirog_TPD40
10.61.33.52,ARH.Bulgan_Holboo_TPD55
10.61.37.84,SEL.Javhlant_HarMoritiinHutul_TPD40
10.61.42.108,BAU.Tolbo_TolboNuurBaaz_MA73
10.61.42.140,BAU.Altantsugts_Holboo_NMD110
10.61.43.164,HOV.Hovd_Holboo_IOMD150
10.61.45.172,UVS.Zavhan_HetsuuHad_SMP64
10.61.46.124,ZAV.Santmargats_Holboo_NMD110
10.61.46.132,ZAV.Shiluustei_Holboo_NMD110
10.61.46.148,ZAV.Tes_Holboo_NMD110
10.61.46.188,ZAV.Urgamal_Holboo_NMD110
10.61.46.196,ZAV.Zavhanmandal_Holboo_NMD110
10.61.46.84,ZAV.Bayanhairhan_Holboo_NMD110
10.61.48.52,GOA._Tseel_Mobi_NMD40
10.61.49.133,SEL.Huder_2bag
